label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;dp_char;dp_char_set;dp_char_param
geostorage throttle;Valve;[];[];[];[];[];[];[];nan;False;False;0.1711404598608081;False;False;7601976.473341812;False;False;0x000001F0980A2B80;False;m
combustion pressure loss;Valve;[];[];[];[];[];['pr'];['zeta'];nan;False;False;0.9700000000000003;True;False;5.322149792474474;False;False;0x000001F0980CA040;False;m
