label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set
gas turbine;Turbine;['power output'];[None];[-161813056.68289676];['0x000001F09807CE50'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-161813056.68289676;False;False;0.8500000000001426;True;False;0x000001F0980CA640;False;m;0.06249909958328466;False;False;nan;False
steam turbine;Turbine;['power output'];[None];[-37528503.22206403];['0x000001F09807CE50'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-37528503.22206403;False;False;0.8900000000000056;True;False;0x000001F0980CA880;False;m;0.0005629016106716607;False;False;nan;False
