label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map_eta_s;char_map_eta_s_set;char_map_eta_s_param;char_map_eta_s_group;char_map_pr;char_map_pr_set;char_map_pr_param;char_map_pr_group
compressor stage 1;Compressor;['power input'];[None];[73678569.54499815];['0x000001F657945730'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;71468212.4586482;False;False;0.9199999999999975;True;False;0x000001F657983B80;False;m;5.0;True;False;0;False;False;0x000001F6579B8D90;False;nan;default;0x000001F6579B8730;False;nan;default
compressor stage 2;Compressor;['power input'];[None];[75136552.9045641];['0x000001F657945730'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;72882456.31742717;False;False;0.9199999999999872;True;False;0x000001F657983A30;False;m;5.0;True;False;0;False;False;0x000001F6579B86D0;False;nan;default;0x000001F6579B83A0;False;nan;default
compressor stage 3;Compressor;['power input'];[None];[81184877.55043781];['0x000001F657945730'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;78749331.22392467;False;False;0.849999999999998;True;False;0x000001F6579835E0;False;m;4.888101856315679;False;False;0;False;False;0x000001F6579B85B0;False;nan;default;0x000001F6579B8610;False;nan;default
