label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;kA_char;kA_char_set;kA_char_param;Tamb;Tamb_set;Tamb_var;dissipative;dissipative_set;hydro_group;kA_group;kA_char_group
cooler 1;HeatExchangerSimple;['heat output'];[None];[-69889302.4680644];['0x000001F657979FA0'];['component'];['pr'];['zeta'];nan;False;False;-69889302.4680644;False;False;0.9799999999999999;True;False;0.3855692664934308;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001F6579B84C0;False;m;1;False;False;True;False;default;default;default
cooler 2;HeatExchangerSimple;['heat output'];[None];[-74536023.8811345];['0x000001F657979FA0'];['component'];['pr'];['zeta'];nan;False;False;-74536023.8811345;False;False;0.98;True;False;9.135305106796649;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001F6579B8AF0;False;m;1;False;False;True;False;default;default;default
cooler 3;HeatExchangerSimple;['heat output'];[None];[-85653055.25307608];['0x000001F657979FA0'];['component'];['pr'];['zeta'];nan;False;False;-85653055.25307608;False;False;0.98;True;False;201.11574583333734;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x000001F6579B8CA0;False;m;1;False;False;True;False;default;default;default
