label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set
turbine hp;Turbine;['power output'];[None];[-40574741.63592588];['0x000001C8B51E4880'];['component'];['eta_s'];['eta_s_char'];nan;False;False;-40574741.63592588;False;False;0.8499999999999982;True;False;0x000001C8B52390D0;False;m;0.10221017382407128;False;False;nan;False
turbine lp;Turbine;['power output'];[None];[-77981959.39500195];['0x000001C8B51E4880'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-77981959.39500195;False;False;0.9000000000005006;True;False;0x000001C8B5239670;False;m;0.10659057437407955;False;False;nan;False
