id;type;x;y;extrapolate
0x0000024054197580;CharLine;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x0000024054197D00;CharLine;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x0000024054197FD0;CharLine;[0.0, 0.10449, 0.23774, 0.40054, 0.59243, 0.81296, 1.0, 1.0617, 1.33818, 1.64196, 1.97259, 2.32963, 2.71261, 3.0012];[0.01, 0.21181, 0.40637, 0.58484, 0.74792, 0.89627, 1.0, 1.03058, 1.15152, 1.25977, 1.35602, 1.44093, 1.51519, 1.562];False
0x00000240541708E0;CharLine;[0.0, 0.1905, 0.381, 0.5714, 0.7619, 0.9524, 1.0, 1.1429, 1.3333, 1.5238, 1.7143, 1.9048];[0.0, 0.3975, 0.6772, 0.8581, 0.9593, 0.9985, 1.0, 0.9875, 0.9357, 0.8464, 0.7219, 0.5643];False
0x0000024054197400;CharLine;[0.0, 1.0];[1.0, 1.0];False
0x0000024054170CD0;CharLine;[0.0, 0.1905, 0.381, 0.5714, 0.7619, 0.9524, 1.0, 1.1429, 1.3333, 1.5238, 1.7143, 1.9048];[0.0, 0.3975, 0.6772, 0.8581, 0.9593, 0.9985, 1.0, 0.9875, 0.9357, 0.8464, 0.7219, 0.5643];False
0x0000024054149070;CharLine;[0.1, 0.345, 0.359, 0.383, 0.41, 0.432, 0.451, 0.504, 0.541, 0.6, 0.684, 0.805, 1.0, 1.7, 10.0];[0.94672, 0.95933, 0.9602999999999999, 0.96127, 0.96224, 0.96321, 0.9641799999999999, 0.96515, 0.96612, 0.96709, 0.9680599999999999, 0.96903, 0.97, 0.96903, 0.9602999999999999];False
0x00000240541703A0;CharLine;[0.0, 3.0];[1.0, 1.0];False
