label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set
turbine hp;Turbine;['power output'];[None];[-15788445.105687264];['0x0000024054149070'];['component'];['eta_s'];['eta_s_char'];nan;False;False;-15788445.105687264;False;False;0.8500000000000014;True;False;0x00000240541708E0;False;m;0.15707397096503223;False;False;nan;False
turbine lp;Turbine;['power output'];[None];[-35757946.64689006];['0x0000024054149070'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-35757946.64689006;False;False;0.900000000000536;True;False;0x0000024054170CD0;False;m;0.10659057437407957;False;False;nan;False
